سګرېټ;существительное;сигарета
سل;существительное;туберкулёз
سلفر;существительное;хим. сера
سليکان;существительное;хим. кремний
سم;существительное;яд
سه شنبه;существительное;вторник
سوډان;существительное;Судан
سوريه;существительное;Сирия
سويس;существительное;Швейцария
سویډن;существительное;Швеция
سياره;существительное;астрон. планета
سيلۍ;существительное;ветер
سيمه;существительное;регион
سيند;существительное;река
سينگاپور;существительное;Сингапур
سېرک;существительное;цирк
شا;существительное;анат. спина
شات;существительное;мёд
شپږ;числительное;шесть
شپږم;числительное;шестой
شپه;существительное;ночь
شپييتم;числительное;шестидесятый
شډل;прилагательное;невежливый
شربت;существительное;шербет
شفتالو;существительное;персик (плод)
شګه;существительное;песок
شمارل;глагол;нумеровать
شمالي قطبي سمندر;топоним;Северный Ледовитый океан
شمعه;существительное;свеча (осветительное приспособление)
شونډه;существительное;анат. губа
شيدې;существительное;молоко
شين;прилагательное;зелёный
ښار;существительное;город
ښځه;существительное;женщина
ښوونځی;существительное;школа
ښوونکی;существительное;учитель
ښوونکې;существительное;учительница
صابون;существительное;мыло
طالب;существительное;учащийся
طبعت;существительное;природа
عينکې;существительное;очки
غاټول;существительное;ботан. тюльпан (Tulipa)
غاړه;существительное;анат. шея
غاښ;существительное;анат. зуб
غده;существительное;анат. железа
غرمه;существительное;полдень
غږ;существительное;голос
غشۍ;существительное;стрела
غنم;существительное;пшеница
غڼه;существительное;зоол. паук
غوږ;существительное;ухо
غيڼ;существительное;вульг. член, хрен, хуй
فبروري;существительное;февраль
فرانسه;существительное;Франция
فزيک;существительное;физика
فلورين;существительное;хим. фтор
فلېپين;существительное;Филиппины
قازه;существительное;зоол. гусь (Anser)
قاموس;существительное;словарь
قلعه;существительное;крепость
قلعي;существительное;хим. олово
قو;существительное;зоол. лебедь
كلى;существительное;село
كوټه;существительное;комната
کارغه;существительное;зоол. ворона (Corvus)
کارګه;существительное;зоол. ворона (Corvus)
کاشوغه;существительное;ложка
کاغذ;существительное;бумага
کال;существительное;год
کب;существительное;рыба
کچالو;существительное;картофель
کرېشنا;существительное;Кришна
کړکۍ;существительное;окно
کلسيم;существительное;хим. кальций
کلورين;существительное;хим. хлор
کلي;существительное;ключ
کنګل;существительное;лёд
کوټ;существительное;хим. цинк
کوڅه;существительное;улица
کورنۍ;существительное;семья
کوږبل;существительное;зоол. гиена
کول;существительное;делать
کيشپ;существительное;зоол. черепаха
کيميا;существительное;химия
ګبينه;существительное;мёд
ګټار;существительное;муз. гитара
ګران;прилагательное;дорогой, дорогостоящий
ګړدود;существительное;лингв. диалект
ګل;существительное;цветок
ګوته;существительное;анат. палец
ګوګړ;существительное;хим. сера
ګونګټ;существительное;энтомол. жук
ګيدړه;существительное;зоол. лиса, лисица (vulpes)
گازره;не указано;ботан. морковь (Daucus)
گرافېن;существительное;физ. графен
لاتويا;существительное;геогр. Латвия
لار;существительное;путь
لاس;существительное;анат. рука (кисть)
لړم;существительное;зоол. скорпион
لس;числительное;десять
لغت;существительное;слово
لنګۍ;существительное;анат. нога
لهجه;существительное;лингв. диалект
لور;существительное;серп
لوگزامبورگ;существительное;Люксембург
لومړۍ;числительное;первый
لوې;прилагательное;большой
ليکوال;существительное;писатель
لېوه;существительное;зоол. волк (Canis lupus)
مار;существительное;зоол. змея (serpens)
ماشين;существительное;машина
مالګه;существительное;соль
مالېکول;существительное;хим. молекула
مانتېنېگرو;существительное;Черногория
ماڼۍ;существительное;здание, строение
مټ;существительное;анат. рука
مچئِي;существительное;энтомол. пчела
مخ;существительное;страница
مذهب;существительное;религия; вероисповедание
مرغلره;существительное;жемчуг
مرغه;существительное;зоол. птица
مړ;прилагательное;мёртвый
مړل;глагол;умирать
مړينه;существительное;смерть
مس;существительное;хим. медь
مشت;существительное;кулак
معدن;существительное;минерал
مګنيزيم;существительное;хим. магний
ملاريا;существительное;мед. малярия
ملګرۍ;существительное;друг
منګال;существительное;большой серп
منۍ;существительное;осень
مڼه;существительное;яблоко (плод яблони)
مور;существительное;павлин
موریتانیا;существительное;Мавритания
موږ;местоимение;мы
موږک;существительное;зоол. мышь (mus)
موسكا;существительное;улыбка
مياشت;существительное;месяц
مېخ;существительное;гвоздь
مېږۍ;существительное;муравей
مېلمه;существительное;гость
ناروې;существительное;Норвегия
نايتروجن;существительное;хим. азот
نهم;существительное;девятый
نهه;числительное;девять
نور;существительное;свет
نوم;существительное;имя
نومبر;существительное;ноябрь
نيپال;существительное;Непал
نيکل;существительное;хим. никель
نيوټرون;существительное;физ. нейтрон
نیکاراگوا;существительное;Никарагуа
نیکوتین;существительное;никотин
نېمبیا;существительное;Намибия
هاندوراس;существительное;Гондурас
هديه;существительное;подарок
هسك;существительное;небо
هګۍ;существительное;яйцо
هماليۀ;существительное;Гималаи
همېل;существительное;колье, ожерелье
هند;существительное;Индия
هنداره;существительное;зеркало
هندويزم;существительное;религ. индуизм
هندي سمندر;топоним;Индийский океан
هنګری;существительное;Венгрия
هوا;существительное;погода
هوټل;существительное;ресторан
هېلۍ;существительное;орнитол. утка
واورتون;существительное;дом из снега
واوره;существительное;снег
وچکښ;существительное;карандаш
وخت;существительное;время
ودان;существительное;благоустроенный
ورځ;существительное;день
ورږه;существительное;зоол. блоха (Pulex)
وروځه;существительное;бровь
ورور;существительное;брат
ورېښم;существительное;шёлк
وزر;существительное;анат. крыло
وړوکتون;существительное;детский сад
وګړپوهنه;существительное;антропология
ولسمشر;существительное;президент
ولسولي;не указано;округ
وله;существительное;ботан. ива, верба (Salix)
ونه;существительное;дерево (растение)
وينه;существительное;кровь
وېره;существительное;страх
يروشلم;существительное;Иерусалим
يکشنبه;существительное;воскресенье
يو;числительное;один
يونی;существительное;путешественник
