يبس - высыхать
يتم - осиротеть
يرع - бояться
يسر - облегчать
يقظ - бодрствовать
يمن - быть счастливым
أذاب;глагол;растворять, разводить
أذاع;глагол;распространять; объявлять, обнародовать
أذان;существительное;азан
أذربيجان;существительное;Азербайджан
أذعن;глагол;подчиняться, повиноваться, слушаться
أذلّ;глагол;унижать
أذن;существительное;ухо
أذهب;глагол;удалять; уносить
أذهل;глагол;удивлять, поражать
أذًى;существительное;обида; неприятность
أراح;глагол;давать покой, давать отдых
أراد;глагол;хотеть
أراق;глагол;проливать
أرب;существительное;желание, цель
أربع;глагол;четыре
أربع وثلاثون;числительное;тридцать четыре
أربع وعشرون;числительное;двадцать четыре
أربعة;глагол;четыре
أربعة عشر;числительное;четырнадцать
أربعون;глагол;сорок
أربعين;глагол;сорок
أربك;глагол;ставить в тупик
أربى;глагол;превышать
أربيل;существительное;геогр. Эрбиль
أرت;существительное;заика
أرتيوموفسك;существительное;Артёмовск
أرجأ;глагол;откладывать, отсрочивать
أرجاء;наречие;по всей стране
أرجع;глагол;возвращать
أرجف;глагол;трясти
أرجوحة;существительное;качели
أرجوزة;существительное;стихотворение в стиле раджаз
أرجية;существительное;мед. аллергия
أرخ;глагол;устанавливать время
أرّخ;глагол;датировать
أرخانجيلسك;существительное;Архангельск
أرخانغيلسك;существительное;Архангельск
أرخى;глагол;ослаблять; отпускать
أردف;глагол;добавлять, прибавлять
أردن;существительное;Иордания
أردو;существительное;урду
أردية;существительное;урду
أرز;существительное;кедр
أرزّ;существительное;рис
أرزة;существительное;кедр
أرستقراطىّ;существительное;аристократический
أرستقراطيّة;существительное;аристократия
أَرِسْتُقْرَاطِيَّة;существительное;аристократия
أرسل;глагол;отправлять, посылать
أرسى;глагол;становиться, ставить на якорь
أرشد;глагол;давать указания, инструктировать; наставлять
أرشي ابسقوبس;существительное;архиепископ
أرصاد;существительное;наблюдения
أرض;существительное;заземлять
أرضة;существительное;термит
أرضى;глагол;удовлетворять, выполнять
أرضىّ;прилагательное;земной; наземный
أرضيّة;существительное;пол; земля
أرغم;глагол;принуждать
أرغى;глагол;пениться
أرفق;глагол;прилагать, прикладывать
أرق;глагол;страдать бессонницей
أركب;глагол;сажать (на что-либо)
أرم;существительное;кусать
أرمة;существительное;вывеска
أرمل;существительное;вдовец
أرملة;существительное;вдова
أرمن;существительное;армяне
أرمنى;существительное;армянский
أرمينيا;топоним;Армения
أرنب;существительное;заяц, кролик
أَرْنَب;существительное;зоол. кролик
أرهب;глагол;запугивать; терроризировать
أرهق;глагол;обременять, отягощать
أروم;существительное;корень, пень, происхождение
أروناجل برديش;существительное;Аруначал-Прадеш
أروى;глагол;давать пить
أرى;глагол;показывать
أريانة;существительное;Арьяна (Тунис)
أريكة;существительное;кушетка; софа; диван
أزّ;глагол;гудеть; свистеть; греметь
أزاح;глагол;передвигать, переставлять
أزال;глагол;уничтожать, ликвидировать
أزبد;глагол;пениться
أزرق;прилагательное;синий; голубой
أزعج;глагол;беспокоить; надоедать
أزغب;прилагательное;пушистый
أزل;существительное;вечность
أزلىّ;прилагательное;извечный
أزمة;существительное;кризис; критическое положение
أزمع;глагол;решаться, принимать решение
أزميوم;существительное;хим. осмий
أزناكاييفو;существительное;Азнакаево
أزهر;прилагательное;блестящий, яркий
أزواد;существительное;Азавад
